タイムスタンプ,Q1: あなたの学科を教えてください,Q2: あなたの学年を教えてください,Q3: あなたの属性を教えてください,Q4: あなたはアルバイトをしていますか？,"Q4-1: Q4でアルバイトをしていると答えた人にお伺いします。
5/13/2026 15:13:12,情報処理科,１年生,日本人,はい,木曜日,5時間から6時間,あまり満足していない,"アルバイト, 勉強, ゲーム, 友人・家族・恋人などとのメッセージや電話, 趣味, 通学時間が長い",４から５時間,集中できている,
5/13/2026 15:14:29,インテリア科,２年生,日本人,はい,"月曜日, 火曜日, 金曜日",5時間から6時間,あまり満足していない,"アルバイト, Youtube・tiktokなどの動画視聴",５時間以上,集中できている,
5/13/2026 15:14:56,情報処理科,２年生,留学生,はい,"月曜日, 火曜日, 木曜日, 金曜日",5時間以下,あまり満足していない,"アルバイト, 通学時間が長い",,あまり集中できていない,睡眠が足りていない
5/13/2026 15:16:05,インテリア科,１年生,日本人,はい,"月曜日, 火曜日, 水曜日, 木曜日, 金曜日",5時間から6時間,満足している,,,集中できている,
5/13/2026 15:22:51,Web動画クリエイター科,２年生,日本人,はい,"火曜日, 木曜日, 金曜日",6時間から7時間,あまり満足していない,アルバイト,３から４時間,集中できている,疲れている
5/13/2026 15:32:58,建築監督科,２年生,留学生,はい,"月曜日, 水曜日, 木曜日",6時間から7時間,あまり満足していない,"アルバイト, 勉強, Youtube・tiktokなどの動画視聴, 通学時間が長い",３時間以下,あまり集中できていない,"日本語が難しい, 心配事がある"
5/13/2026 15:42:55,インテリア科,１年生,日本人,いいえ,,6時間から7時間,満足している,,,よく集中できている,
5/13/2026 15:44:00,インテリア科,１年生,日本人,はい,"火曜日, 水曜日, 金曜日",6時間から7時間,まったく満足していない,通学時間が長い,４から５時間,あまり集中できていない,"睡眠が足りていない, 疲れている, 授業の内容が難しい, 心配事がある"
5/13/2026 15:44:13,インテリア科,１年生,日本人,はい,"水曜日, 金曜日",6時間から7時間,満足している,,,集中できている,
5/13/2026 15:44:25,インテリア科,１年生,日本人,いいえ,,5時間から6時間,満足している,,,あまり集中できていない,高校との授業時間の変化にまだ慣れていない。
5/13/2026 15:44:58,インテリア科,１年生,留学生,いいえ,,7時間から8時間,満足している,,,集中できている,
5/13/2026 15:45:14,インテリア科,１年生,留学生,はい,"月曜日, 木曜日, 金曜日",5時間から6時間,満足している,,,集中できている,
5/13/2026 15:45:20,インテリア科,１年生,日本人,いいえ,,5時間から6時間,あまり満足していない,ストレスや心配事,３時間以下,あまり集中できていない,睡眠が足りていない
5/13/2026 15:45:20,インテリア科,１年生,留学生,はい,金曜日,5時間から6時間,あまり満足していない,"勉強, Instagramなどの上記以外のSNS",５時間以上,集中できている,
5/13/2026 15:45:41,インテリア科,１年生,日本人,はい,"火曜日, 金曜日",5時間から6時間,あまり満足していない,"アルバイト, 勉強, Youtube・tiktokなどの動画視聴",５時間以上,あまり集中できていない,"睡眠が足りていない, 疲れている"
5/13/2026 15:45:55,インテリア科,１年生,日本人,はい,"月曜日, 火曜日, 水曜日, 木曜日, 金曜日",6時間から7時間,まったく満足していない,"Youtube・tiktokなどの動画視聴, Instagramなどの上記以外のSNS, 趣味",３から４時間,集中できている,"睡眠が足りていない, 疲れている, 教室の環境が良くない"
5/13/2026 15:46:18,インテリア科,１年生,留学生,はい,"月曜日, 水曜日, 木曜日, 金曜日",6時間から7時間,あまり満足していない,"アルバイト, Youtube・tiktokなどの動画視聴, 趣味",４から５時間,集中できている,"睡眠が足りていない, 日本語が難しい"
5/13/2026 15:46:42,インテリア科,１年生,留学生,はい,"月曜日, 木曜日, 金曜日",6時間から7時間,まったく満足していない,"友人・家族・恋人などとのメッセージや電話, 趣味",３時間以下,集中できている,
5/13/2026 15:47:36,インテリア科,２年生,日本人,はい,"月曜日, 水曜日, 金曜日",5時間以下,まったく満足していない,"アルバイト, ゲーム, ストレスや心配事, 趣味",３時間以下,あまり集中できていない,"睡眠が足りていない, 疲れている"
5/13/2026 15:47:41,インテリア科,１年生,留学生,はい,"火曜日, 水曜日, 木曜日, 金曜日",5時間から6時間,あまり満足していない,趣味,４から５時間,あまり集中できていない,日本語が難しい
5/13/2026 15:50:12,Web動画クリエイター科,２年生,日本人,はい,,5時間から6時間,あまり満足していない,"アルバイト, 勉強, ゲーム, Youtube・tiktokなどの動画視聴, ストレスや心配事, 趣味",５時間以上,あまり集中できていない,"睡眠が足りていない, 疲れている"
5/13/2026 15:50:37,インテリア科,１年生,留学生,はい,,6時間から7時間,満足している,,,集中できている,
5/13/2026 16:01:47,インテリア科,１年生,留学生,はい,"火曜日, 水曜日, 木曜日, 金曜日",5時間から6時間,あまり満足していない,"アルバイト, 勉強, ストレスや心配事",４から５時間,あまり集中できていない,日本語が難しい
5/13/2026 16:37:09,情報処理科,２年生,留学生,はい,"月曜日, 火曜日, 水曜日, 木曜日, 金曜日",5時間から6時間,まったく満足していない,"アルバイト, 勉強",５時間以上,あまり集中できていない,"睡眠が足りていない, 疲れている, 日本語が難しい, 授業の内容が難しい"
5/13/2026 16:40:55,建築科,１年生,日本人,いいえ,,5時間以下,まったく満足していない,家事と勉強と起床時間の時間配分がまだうまく出来ていない,３時間以下,集中できている,"睡眠が足りていない, 疲れている"
5/13/2026 16:42:29,loT+AI科,２年生,留学生,はい,"月曜日, 水曜日",7時間から8時間,満足している,趣味,３から４時間,集中できている,
5/13/2026 16:43:27,情報処理科,２年生,留学生,はい,"水曜日, 木曜日, 金曜日",5時間から6時間,あまり満足していない,"アルバイト, 勉強, ゲーム, Youtube・tiktokなどの動画視聴, 友人・家族・恋人などとのメッセージや電話",４から５時間,集中できている,"睡眠が足りていない, 疲れている, 授業の内容が難しい"
5/13/2026 16:48:20,建築科,１年生,日本人,いいえ,,5時間から6時間,あまり満足していない,"勉強, ゲーム, Youtube・tiktokなどの動画視聴, 趣味, 通学時間が長い",４から５時間,集中できている,
5/13/2026 16:58:24,建築監督科,４年生,日本人,はい,,5時間から6時間,とても満足している,,,集中できている,
5/13/2026 17:00:38,データサイエンス＋AI科,１年生,留学生,はい,"火曜日, 水曜日, 金曜日",8時間以上,満足している,,５時間以上,あまり集中できていない,"日本語が難しい, 授業の内容が難しい"
5/13/2026 17:21:00,Web動画クリエイター科,２年生,日本人,はい,,5時間以下,まったく満足していない,"勉強, ストレスや心配事, 通学時間が長い",３から４時間,あまり集中できていない,"睡眠が足りていない, 疲れている"
5/13/2026 17:21:35,情報処理科,２年生,日本人,いいえ,,5時間以下,あまり満足していない,"ゲーム, Youtube・tiktokなどの動画視聴, 友人・家族・恋人などとのメッセージや電話, ストレスや心配事, 趣味",５時間以上,集中できている,
5/13/2026 17:39:58,Web動画クリエイター科,２年生,日本人,はい,"月曜日, 木曜日",5時間から6時間,あまり満足していない,"アルバイト, Youtube・tiktokなどの動画視聴, Instagramなどの上記以外のSNS, ストレスや心配事",３から４時間,あまり集中できていない,"睡眠が足りていない, 疲れている, 授業の内容が難しい, 心配事がある"
5/13/2026 18:27:13,データサイエンス＋AI科,２年生,留学生,はい,"月曜日, 火曜日, 木曜日, 金曜日",6時間から7時間,あまり満足していない,"友人・家族・恋人などとのメッセージや電話, ストレスや心配事",３から４時間,集中できている,"睡眠が足りていない, 日本語が難しい, 心配事がある"
5/13/2026 18:33:50,バイオテクノロジー科,１年生,日本人,いいえ,,5時間から6時間,満足している,,,集中できている,
5/13/2026 21:27:24,バイオテクノロジー科,１年生,日本人,いいえ,,6時間から7時間,あまり満足していない,寝付けない,,集中できている,
5/13/2026 21:38:35,建築監督科,１年生,日本人,いいえ,,6時間から7時間,満足している,,,集中できている,
5/13/2026 22:31:35,バイオテクノロジー科,１年生,日本人,いいえ,,5時間から6時間,あまり満足していない,"勉強, ゲーム, Youtube・tiktokなどの動画視聴, Instagramなどの上記以外のSNS, ストレスや心配事, 趣味",３から４時間,集中できている,
5/13/2026 22:41:25,建築科,２年生,日本人,はい,"月曜日, 火曜日, 水曜日, 木曜日, 金曜日",6時間から7時間,満足している,,,よく集中できている,
5/13/2026 23:53:12,データサイエンス＋AI科,１年生,留学生,はい,"水曜日, 木曜日, 金曜日",5時間以下,満足している,,５時間以上,あまり集中できていない,授業の内容が難しい
5/14/2026 0:10:51,情報処理科,１年生,日本人,いいえ,,6時間から7時間,あまり満足していない,"勉強, 家事育児",３から４時間,集中できている,
5/14/2026 1:09:49,データサイエンス＋AI科,１年生,日本人,いいえ,,5時間以下,まったく満足していない,"ストレスや心配事, ",３時間以下,集中できている,
5/14/2026 7:21:16,ゲームプログラミング科,２年生,日本人,はい,木曜日,6時間から7時間,あまり満足していない,"アルバイト, Youtube・tiktokなどの動画視聴",５時間以上,あまり集中できていない,"睡眠が足りていない, 疲れている, 教室の環境が良くない"
5/14/2026 8:27:12,建築監督科,４年生,日本人,はい,,7時間から8時間,満足している,,,集中できている,
5/14/2026 9:20:58,情報処理科,１年生,日本人,はい,"月曜日, 水曜日, 金曜日",7時間から8時間,あまり満足していない,アルバイト,３から４時間,集中できている,
5/14/2026 9:31:16,建築監督科,１年生,留学生,はい,"月曜日, 火曜日, 金曜日",5時間から6時間,満足している,,５時間以上,集中できている,
5/14/2026 10:28:28,情報処理科,２年生,留学生,はい,"水曜日, 木曜日, 金曜日",5時間から6時間,あまり満足していない,"Instagramなどの上記以外のSNS, 友人・家族・恋人などとのメッセージや電話, 考かんがえすぎ",３時間以下,集中できている,
5/14/2026 10:58:32,データサイエンス＋AI科,１年生,留学生,はい,,8時間以上,とても満足している,,５時間以上,集中できている,
5/14/2026 11:58:14,建築監督科,１年生,日本人,はい,"月曜日, 水曜日, 金曜日",5時間から6時間,あまり満足していない,"アルバイト, 勉強, 友人・家族・恋人などとのメッセージや電話, 通学時間が長い",５時間以上,あまり集中できていない,"睡眠が足りていない, 疲れている, 授業の内容が難しい, 心配事がある"
5/14/2026 12:52:17,建築科,２年生,日本人,はい,"火曜日, 木曜日",5時間以下,あまり満足していない,"アルバイト, 勉強, Youtube・tiktokなどの動画視聴, 通学時間が長い",３時間以下,集中できている,
5/14/2026 13:33:01,インテリア科,２年生,日本人,はい,"火曜日, 木曜日, 金曜日",7時間から8時間,満足している,,,集中できている,
5/14/2026 15:15:20,インテリア科,２年生,日本人,いいえ,,5時間以下,満足している,,,集中できている,
5/14/2026 15:25:51,インテリア科,１年生,留学生,はい,"月曜日, 火曜日, 金曜日",8時間以上,とても満足している,,,集中できている,
5/14/2026 21:50:38,建築科,１年生,留学生,はい,"月曜日, 火曜日, 水曜日",5時間から6時間,満足している,,,集中できている,
5/14/2026 22:58:52,情報処理科,１年生,日本人,いいえ,,5時間から6時間,あまり満足していない,"勉強, Youtube・tiktokなどの動画視聴",３から４時間,集中できている,
5/14/2026 23:38:23,Web動画クリエイター科,２年生,日本人,いいえ,,5時間から6時間,満足している,,,よく集中できている,
5/15/2026 8:31:00,情報処理科,１年生,留学生,はい,"火曜日, 水曜日",5時間から6時間,あまり満足していない,ストレスや心配事,,集中できている,
5/15/2026 9:05:38,建築科,３年生,日本人,はい,火曜日,5時間から6時間,満足している,,,集中できている,
5/15/2026 9:06:49,情報処理科,１年生,留学生,はい,"火曜日, 水曜日, 木曜日",7時間から8時間,とても満足している,,,集中できている,
5/15/2026 9:29:47,バイオテクノロジー科,１年生,日本人,はい,,5時間から6時間,満足している,"勉強, ゲーム",５時間以上,集中できている,
5/15/2026 11:20:21,Web動画クリエイター科,２年生,日本人,いいえ,,5時間から6時間,あまり満足していない,趣味,３時間以下,集中できている,
5/15/2026 11:23:23,データサイエンス＋AI科,２年生,留学生,はい,"水曜日, 金曜日",6時間から7時間,あまり満足していない,"アルバイト, 勉強, Instagramなどの上記以外のSNS",４から５時間,あまり集中できていない,"疲れている, 授業の内容が難しい"
5/15/2026 12:47:21,ゲームプログラミング科,２年生,日本人,いいえ,,6時間から7時間,あまり満足していない,"勉強, Youtube・tiktokなどの動画視聴, ストレスや心配事, 趣味",３から４時間,あまり集中できていない,睡眠が足りていない
5/15/2026 13:15:17,バイオテクノロジー科,１年生,日本人,はい,,6時間から7時間,あまり満足していない,通学時間が長い,４から５時間,集中できている,
5/15/2026 13:16:23,バイオテクノロジー科,１年生,日本人,はい,"火曜日, 水曜日, 金曜日",5時間から6時間,まったく満足していない,アルバイト,４から５時間,あまり集中できていない,"睡眠が足りていない, 授業の内容が難しい, 教室の環境が良くない"
5/15/2026 14:47:37,バイオテクノロジー科,１年生,日本人,いいえ,,6時間から7時間,まったく満足していない,"ストレスや心配事, 通学時間が長い",３から４時間,あまり集中できていない,"睡眠が足りていない, 疲れている, 授業の内容が難しい"
5/15/2026 15:22:33,インテリア科,２年生,日本人,はい,"火曜日, 木曜日",5時間から6時間,まったく満足していない,"アルバイト, 勉強, 友人・家族・恋人などとのメッセージや電話",５時間以上,あまり集中できていない,"睡眠が足りていない, 疲れている"
5/15/2026 20:04:59,loT+AI科,２年生,日本人,はい,"火曜日, 水曜日",5時間から6時間,あまり満足していない,"アルバイト, Instagramなどの上記以外のSNS, 趣味, 通学時間が長い, 個人開発",５時間以上,あまり集中できていない,"睡眠が足りていない, 疲れている, 心配事がある"
5/18/2026 8:26:04,バイオテクノロジー科,１年生,日本人,いいえ,,7時間から8時間,満足している,,,集中できている,
5/18/2026 9:17:31,loT+AI科,１年生,留学生,はい,"木曜日, 金曜日",5時間から6時間,あまり満足していない,"アルバイト, Youtube・tiktokなどの動画視聴, 友人・家族・恋人などとのメッセージや電話, 趣味, 通学時間が長い",３から４時間,集中できている,日本語が難しい
5/18/2026 9:27:26,建築監督科,１年生,留学生,はい,"月曜日, 火曜日, 木曜日",6時間から7時間,満足している,アルバイト,５時間以上,集中できている,授業の内容が難しい
5/18/2026 12:13:47,インテリア科,２年生,留学生,はい,火曜日,8時間以上,あまり満足していない,アルバイト,５時間以上,よく集中できている,
5/18/2026 12:13:53,インテリア科,２年生,日本人,はい,"火曜日, 木曜日",5時間以下,満足している,,,集中できている,
5/18/2026 12:14:18,インテリア科,２年生,日本人,はい,"月曜日, 火曜日, 木曜日, 金曜日",5時間以下,あまり満足していない,Instagramなどの上記以外のSNS,３から４時間,あまり集中できていない,"睡眠が足りていない, 授業の内容が難しい"
5/18/2026 12:15:41,インテリア科,２年生,留学生,はい,"火曜日, 水曜日",6時間から7時間,あまり満足していない,"アルバイト, 友人・家族・恋人などとのメッセージや電話, ストレスや心配事",４から５時間,集中できている,
5/18/2026 12:15:44,インテリア科,２年生,留学生,はい,"火曜日, 金曜日",6時間から7時間,まったく満足していない,"アルバイト, 勉強, Youtube・tiktokなどの動画視聴",４から５時間,あまり集中できていない,"睡眠が足りていない, 疲れている"
5/18/2026 12:16:50,インテリア科,２年生,日本人,はい,"月曜日, 水曜日",5時間から6時間,まったく満足していない,"アルバイト, ゲーム, Youtube・tiktokなどの動画視聴, Instagramなどの上記以外のSNS, 友人・家族・恋人などとのメッセージや電話, 趣味",５時間以上,あまり集中できていない,"睡眠が足りていない, 疲れている"
5/18/2026 13:25:09,情報処理科,１年生,留学生,はい,"水曜日, 木曜日, 金曜日",5時間から6時間,とても満足している,,５時間以上,集中できている,睡眠が足りていない
5/19/2026 8:09:58,建築監督科,１年生,留学生,はい,金曜日,7時間から8時間,満足している,"アルバイト, 勉強",３から４時間,集中できている,
5/20/2026 9:13:20,インテリア科,１年生,留学生,はい,"月曜日, 火曜日, 水曜日",6時間から7時間,満足している,趣味,３時間以下,集中できている,
5/20/2026 9:13:49,loT+AI科,１年生,留学生,はい,"月曜日, 水曜日, 木曜日",8時間以上,満足している,勉強,４から５時間,集中できている,授業の内容が難しい
5/20/2026 9:16:59,loT+AI科,１年生,留学生,はい,"月曜日, 火曜日, 水曜日, 木曜日",6時間から7時間,満足している,"アルバイト, 勉強",５時間以上,集中できている,"疲れている, 日本語が難しい"
5/20/2026 9:17:42,インテリア科,１年生,留学生,はい,"水曜日, 木曜日",5時間から6時間,満足している,,,集中できている,
5/20/2026 9:22:08,インテリア科,２年生,留学生,はい,"火曜日, 水曜日, 木曜日",7時間から8時間,満足している,"アルバイト, 通学時間が長い",４から５時間,集中できている,睡眠が足りていない
5/20/2026 10:11:40,loT+AI科,１年生,留学生,はい,"月曜日, 水曜日, 木曜日",7時間から8時間,満足している,Youtube・tiktokなどの動画視聴,４から５時間,集中できている,"疲れている, 日本語が難しい"
5/20/2026 10:33:32,情報処理科,１年生,留学生,はい,金曜日,6時間から7時間,まったく満足していない,"アルバイト, 勉強",５時間以上,集中できている,日本語が難しい
5/20/2026 11:45:55,ゲーム＋デジタルクリエイター科,１年生,留学生,はい,"火曜日, 木曜日",6時間から7時間,とても満足している,,,集中できている,
5/20/2026 16:02:02,インテリア科,１年生,留学生,はい,"月曜日, 火曜日, 水曜日",5時間以下,あまり満足していない,"勉強, Instagramなどの上記以外のSNS",５時間以上,集中できている,
